confirmed,recovered,deaths,id
54,0,0,KE-28
1,0,0,KE-19
8,0,0,KE-14
0,0,0,KE-40
0,0,0,KE-21
0,0,0,KE-39
0,0,0,KE-07
0,0,0,KE-46
6,0,0,KE-24
0,0,0,KE-25
0,0,0,KE-09
0,0,0,KE-26
0,0,0,KE-41
0,0,0,KE-06
2,0,0,KE-18
0,0,0,KE-22
0,0,0,KE-23
0,0,0,KE-35
0,0,0,KE-36
0,0,0,KE-15
0,0,0,KE-29
0,0,0,KE-13
0,0,0,KE-43
0,0,0,KE-47
0,0,0,KE-37
0,0,0,KE-42
1,0,0,KE-44
0,0,0,KE-05
0,0,0,KE-32
0,0,0,KE-01
0,0,0,KE-20
2,0,0,KE-31
0,0,0,KE-33
3,0,0,KE-10
0,0,0,KE-12
0,0,0,KE-02
1,0,0,KE-11
0,0,0,KE-45
0,0,0,KE-03
0,0,0,KE-04
2,0,0,KE-38
0,0,0,KE-17
1,0,0,KE-08
0,0,0,KE-27
0,0,0,KE-15
0,0,0,KE-34
200,2,0,KE-30
